"plantbarcode","genotype","Subpop.","Exp","treatment","image_id","Average.Root.Width..Diameter.","Network.Bushiness","Network.Depth","Ellipse.Axes.Ratio","Network.Length.Distribution","Major.Ellipse.Axis","Maximum.Number.of.Roots","Network.Width","Median.Number.of.Roots","Minor.Ellipse.Axis","Network.Area","Network.Convex.Area","Network.Perimeter","Network.Solidity","Specific.Root.Length","Network.Surface.Area","Network.Length","Network.Volume","Network.Width.to.Depth.Ratio","Average.Root.Width..Diameter._Excised","Network.Bushiness_Excised","Network.Depth_Excised","Ellipse.Axes.Ratio_Excised","Network.Length.Distribution_Excised","Major.Ellipse.Axis_Excised","Maximum.Number.of.Roots_Excised","Network.Width_Excised","Median.Number.of.Roots_Excised","Minor.Ellipse.Axis_Excised","Network.Area_Excised","Network.Convex.Area_Excised","Network.Perimeter_Excised","Network.Solidity_Excised","Specific.Root.Length_Excised","Network.Surface.Area_Excised","Network.Length_Excised","Network.Volume_Excised","Network.Width.to.Depth.Ratio_Excised"
"Ea007AA019847","Oh43","nss","LT1b",100,960,0.207206389,1.357142857,36.68493151,0.276069758,0.195250836,30.7309451,19,10.17808219,14,8.483884571,135.4974667,268.3024958,1586.452055,0.505017541,13.30784972,796.7102568,1223.90411,91.9685851,0.277445855,0.190667552,1,7.04109589,0.146750741,0.524444444,8.0196501,1,0.178082192,1,1.176889593,1.513980109,5.479545881,18.20547945,0.276296639,33.05336006,5.628956828,9.397260274,0.284305749,0.025291829
"Ea007AA019848","Oh43","nss","LT1b",100,1056,0.150132094,1.714285714,39.12328767,0.1852399,0.17076531,35.20996753,12,9.095890411,7,6.522290869,65.26853068,269.2023832,1041.863014,0.242451534,34.4288007,329.3630146,698.3150685,20.28287522,0.232492997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea007AB019849","Oh43","nss","LT1b",75,99,0.146291523,1.625,42.97260274,0.153988997,0.195286264,38.33229347,13,8,8,5.90275144,72.71964721,279.7082942,1268.30137,0.259983879,29.79922481,367.5007154,799.630137,26.8339241,0.186165126,0.102922856,2.333333333,28.79452055,0.149423838,0.100745689,23.74679994,7,3.410958904,3,3.548337977,15.45486958,130.5028148,365.8082192,0.118425565,90.26281445,62.76815145,194.1232877,2.150645189,0.118458611
"Ea007AB019850","Oh43","nss","LT1b",75,164,0.241345598,1.428571429,42.16438356,0.166711592,0.315262122,37.4122273,10,7.931506849,7,6.237051971,89.07280916,260.3230437,941.630137,0.342162599,10.68548337,534.2884629,704.6712329,65.94659395,0.188109162,0.094698281,4,20.80821918,0.304482684,0.174176776,16.48148988,4,6.205479452,1,5.01832827,6.843685494,76.82735973,178.5753425,0.089078754,102.7865176,27.61076292,92.80821918,0.902922108,0.298222515
"Ea007AB019851","Oh43","nss","LT1b",75,324,0.259260705,1.8,26.54794521,0.289181016,0.292357355,24.93389445,9,11.26027397,5,7.210408925,52.49164947,219.0117283,565.6712329,0.239675062,7.936529052,330.1926327,405.3972603,51.07991889,0.424148607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea007AB019852","Oh43","nss","LT1b",75,393,0.125008501,1.625,33.47945205,0.218272886,0.360456439,30.45389899,13,7.753424658,8,6.647260418,51.87427285,178.806718,1006.178082,0.290113668,52.63125783,235.3933812,599.3835616,11.38835715,0.231587561,0.126898936,1,14.38356164,0.239314274,0.452406417,16.37921557,1,0.068493151,1,3.919780084,2.122349409,26.44042034,41.7260274,0.080269125,77.22491299,7.410795684,18.5890411,0.240713008,0.004761905
"Ea007AB019853","Oh43","nss","LT1b",75,564,0.166671227,1.555555556,36.43835616,0.169197407,0.26258419,32.20972586,14,7.684931507,9,5.449802096,77.10039407,245.4909927,1159.191781,0.314066081,23.69923869,408.7625142,780.6575342,32.9401946,0.210902256,0.107880341,1.5,22.20547945,0.133212587,0.313049209,22.8881934,3,3.219178082,2,3.048995447,7.068305498,68.99136799,159.1780822,0.102452027,80.73440049,27.74933483,81.87671233,1.01414901,0.144972239
"Ea007AC019864","Oh43","nss","LT1b",50,673,0.11419642,1.6,30.83561644,0.134486134,0.509354716,30.0118997,8,4.712328767,5,4.036184364,23.04747607,103.1877463,488.1506849,0.223354777,65.90625888,97.13512871,270.7534247,4.108159517,0.152820969,0.10313549,1.5,20.17808219,0.192580444,0.386414531,22.08618349,3,2.342465753,2,4.253367029,6.350910114,62.5947645,150.3013699,0.101460724,92.4129726,24.71794536,76.28767123,0.825508249,0.116089613
"Ea007AC019865","Oh43","nss","LT1b",50,777,0.11801903,1.75,27.94520548,0.223878757,0.328830974,27.52044793,14,8.082191781,8,6.161243683,43.05404391,176.4248452,902.739726,0.244036172,59.17114626,198.2388324,534.6712329,9.036012765,0.289215686,0.100527566,2,15.95890411,0.273259781,0.598978289,18.28064033,2,1.301369863,1,4.995363773,3.063801839,58.97504222,73.75342466,0.051950821,110.9781975,10.83294416,34.30136986,0.30908206,0.081545064
"Ea007AC019866","Oh43","nss","LT1b",50,904,0.171594244,2.333333333,32.60273973,0.154909345,0.748316976,30.48861957,7,6.301369863,3,4.722972094,31.79395759,163.1291049,464.6438356,0.194900583,24.10750168,159.1760619,295.2739726,12.24821952,0.193277311,0.101916154,2,20.08219178,0.239666319,0.33364486,21.61423593,2,1.178082192,1,5.180204352,3.475323701,61.10865078,83.09589041,0.056871223,104.7598943,12.51768465,39.09589041,0.373195207,0.058663029
